id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,number_of_reviews,review_scores_rating,amenities,dist_to_mall
17131,The Loft near National Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,Private room in home,Private room,2,1.0,1.0,64.0,109,4.66,"[""Hot water"", ""Freezer"", ""Piano"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Baking sheet"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Indoor fireplace: wood-burning"", ""Hair dryer"", ""Hangers"", ""Central air conditioning"", ""Hot water kettle"", ""BBQ grill"", ""Toaster"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Dining table"", ""Host greets you"", ""Dishwasher"", ""Barbecue utensils"", ""Luggage dropoff allowed"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Rice maker"", ""Dedicated workspace"", ""Bed linens"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Outdoor furniture"", ""Microwave"", ""Oven"", ""Kitchen"", ""Wine glasses"", ""Blender"", ""Shared patio or balcony"", ""Shared backyard \u2013 Not fully fenced"", ""60 inch HDTV with Fire TV, DVD player"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Iron"", ""Clothing storage: closet and dresser"", ""Free washer \u2013 In building"", ""Portable fans"", ""Viking gas stove"", ""Portable heater"", ""Coffee maker: drip coffee maker"", ""Cleaning products""]",3.8459137641383103
27682,Private 1-bed apartment-Walk to METRO,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,Entire home,Entire home/apt,1,1.0,1.0,70.0,12,5.0,"[""Dedicated workspace"", ""Hot water"", ""Long term stays allowed"", ""Washer"", ""Iron"", ""Heating"", ""Fire extinguisher"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Wifi"", ""Hangers"", ""Free parking on premises"", ""Kitchen"", ""Indoor fireplace"", ""Dryer"", ""Essentials""]",5.378177140410854
32087,Historic bed and breakfast Kalorama Washington DC,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room in bed and breakfast,Private room,2,1.0,1.0,229.0,16,4.87,"[""Ceiling fan"", ""Hot water"", ""City skyline view"", ""Mini fridge refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Wifi"", ""Hair dryer"", ""Hangers"", ""Central air conditioning"", ""Essentials"", ""Long term stays allowed"", ""Body soap"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Lock on bedroom door"", ""Books and reading material"", ""Cleaning available during stay"", ""Central heating"", ""Dedicated workspace"", ""9 inch TV with Roku"", ""Bed linens"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Breakfast"", ""Self check-in"", ""Shampoo"", ""Wine glasses"", ""Exterior security cameras on property"", ""Keypad"", ""Bathtub"", ""First aid kit"", ""Paid parking garage off premises"", ""Iron"", ""Clothing storage: dresser"", ""Coffee""]",2.3008933470732345
62122,"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY","Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,Entire townhouse,Entire home/apt,3,2.0,2.0,84.0,167,4.86,"[""HDTV with Chromecast, HBO Max, standard cable, Netflix"", ""Hot water"", ""City skyline view"", ""Refrigerator"", ""Portable air conditioning"", ""Smoke alarm"", ""Cooking basics"", ""Wifi"", ""Indoor fireplace: wood-burning"", ""Hair dryer"", ""Hangers"", ""Central air conditioning"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Essentials"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Private backyard"", ""Extra pillows and blankets"", ""Crib"", ""Dedicated workspace"", ""Coffee maker: french press, Keurig coffee machine"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Clothing storage"", ""Outdoor furniture"", ""Self check-in"", ""Shampoo"", ""Free driveway parking on premises \u2013 1 space"", ""Kitchen"", ""Children\u2019s dinnerware"", ""Shared patio or balcony"", ""Keypad"", ""Outdoor dining area"", ""Iron"", ""Heating"", ""Park view"", ""Free washer \u2013 In building"", ""Garden view""]",2.610146324006144
67483,Charming B & B in Columbia Heights,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,Entire guest suite,Entire home/apt,3,1.0,2.0,76.0,165,4.52,"[""Hot water"", ""Freezer"", ""Smoke alarm"", ""Free street parking"", ""Wifi"", ""Hair dryer"", ""Hangers"", ""Laundromat nearby"", ""Hot water kettle"", ""Essentials"", ""Long term stays allowed"", ""Dishes and silverware"", ""Coffee maker"", ""Kitchenette"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Mini fridge"", ""Air conditioning"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Bathtub"", ""Iron"", ""Heating"", ""Portable fans"", ""Pets allowed"", ""Lockbox""]",3.128498320693995
93551,Upscale Master Close to Everything,"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876,Private room in townhouse,Private room,2,1.0,1.0,79.0,104,4.75,"[""Ceiling fan"", ""Hot water"", ""Freezer"", ""Refrigerator"", ""Private living room"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Hair dryer"", ""Room-darkening shades"", ""Hangers"", ""Laundromat nearby"", ""Essentials"", ""Hot water kettle"", ""Smart lock"", ""Toaster"", ""TV"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Dining table"", ""Body soap"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Lock on bedroom door"", ""Books and reading material"", ""Fast wifi \u2013 452 Mbps"", ""Central heating"", ""Dedicated workspace"", ""Bed linens"", ""Private patio or balcony"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Stove"", ""Private backyard \u2013 Fully fenced"", ""Outdoor furniture"", ""Shampoo"", ""Microwave"", ""Oven"", ""Bidet"", ""Kitchen"", ""Self check-in"", ""Exterior security cameras on property"", ""Outdoor dining area"", ""Bathtub"", ""First aid kit"", ""Iron"", ""Clothing storage: closet and dresser"", ""Free washer \u2013 In building"", ""Sun loungers"", ""Portable fans"", ""Indoor fireplace""]",1.7204252933447035
116951,Upscale Private Close to Everything,"Howard University, Le Droit Park, Cardozo/Shaw",38.91436,-77.0181,Private room in townhouse,Private room,2,1.0,2.0,71.0,87,4.69,"[""Skate ramp"", ""Ceiling fan"", ""Hot water"", ""Freezer"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Sound system with Bluetooth and aux"", ""Baking sheet"", ""Cooking basics"", ""Shared backyard \u2013 Fully fenced"", ""Hair dryer"", ""Room-darkening shades"", ""Hangers"", ""Central air conditioning"", ""Laundromat nearby"", ""Essentials"", ""Hot water kettle"", ""BBQ grill"", ""Toaster"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Dining table"", ""Body soap"", ""42 inch HDTV with Roku, HBO Max, Netflix, Disney+, DVD player, Apple TV, Amazon Prime Video, Hulu"", ""Dishwasher"", ""Coffee maker"", ""Barbecue utensils"", ""Shower gel"", ""Mosquito net"", ""Lock on bedroom door"", ""Frigidaire stainless steel electric stove"", ""Books and reading material"", ""Extra pillows and blankets"", ""Central heating"", ""Dedicated workspace"", ""Lockbox"", ""Bed linens"", ""Hot tub"", ""Carbon monoxide alarm"", ""Outdoor furniture"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Fast wifi \u2013 421 Mbps"", ""Bidet"", ""Kitchen"", ""Shared patio or balcony"", ""Exterior security cameras on property"", ""Outdoor dining area"", ""First aid kit"", ""Iron"", ""Pocket wifi"", ""Free washer \u2013 In building"", ""Sun loungers"", ""Portable fans"", ""Ethernet connection"", ""Frigidaire stainless steel single oven"", ""Clothing storage: wardrobe and dresser"", ""Cleaning products""]",1.7274462745644932
153545,Guest Room 3 miles to the White House,"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417,Private room in home,Private room,1,1.0,1.0,67.0,41,4.67,"[""Hot water"", ""Refrigerator"", ""Backyard"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""BBQ grill"", ""Free parking on premises"", ""Washer"", ""Dishes and silverware"", ""Coffee maker"", ""Building staff"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Patio or balcony"", ""Dedicated workspace"", ""TV with standard cable"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Stove"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Oven"", ""Kitchen"", ""First aid kit"", ""Iron"", ""Heating"", ""Garden view"", ""Indoor fireplace"", ""Dryer""]",3.8485808440457485
161913,X-tra large suite;3 min Wlk 2 Metro,"Dupont Circle, Connecticut Avenue/K Street",38.91296,-77.04639,Private room in townhouse,Private room,1,1.0,1.0,99.0,5,4.6,"[""Central heating"", ""TV"", ""Free dryer \u2013 In building"", ""Iron"", ""Fire extinguisher"", ""Free washer \u2013 In building"", ""Smoke alarm"", ""Wifi"", ""Lock on bedroom door"", ""Hangers"", ""Central air conditioning"", ""Kitchen"", ""Indoor fireplace""]",2.049321731630518
164069,Master en-suite in historical house near monuments,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91366,-77.00803,Private room in home,Private room,2,1.0,1.0,115.0,265,4.88,"[""Ceiling fan"", ""Hot water"", ""Freezer"", ""Clothing storage: closet and wardrobe"", ""Refrigerator"", ""Backyard"", ""Fire extinguisher"", ""Coffee maker: Keurig coffee machine"", ""Smoke alarm"", ""Baking sheet"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Hair dryer"", ""Room-darkening shades"", ""Hangers"", ""Central air conditioning"", ""Essentials"", ""Hot water kettle"", ""Smart lock"", ""Toaster"", ""Long term stays allowed"", ""Dishes and silverware"", ""Dining table"", ""Free washer \u2013 In unit"", ""Body soap"", ""Paid parking lot off premises"", ""Luggage dropoff allowed"", ""Shower gel"", ""Mosquito net"", ""Lock on bedroom door"", ""Extra pillows and blankets"", ""Patio or balcony"", ""Dedicated workspace"", ""Free carport on premises \u2013 1 space"", ""Bed linens"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Oven"", ""Kitchen"", ""Wine glasses"", ""Blender"", ""Exterior security cameras on property"", ""Conditioner"", ""First aid kit"", ""Iron"", ""Heating"", ""Gas stove"", ""Drying rack for clothing"", ""Coffee"", ""Dryer"", ""Cleaning products""]",1.8430813793010825
174808,Historic American Four Square,Historic Anacostia,38.86432,-76.98749,Private room in home,Private room,2,1.0,1.0,95.0,93,4.95,"[""Washer"", ""First aid kit"", ""Iron"", ""Heating"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Wifi"", ""Breakfast"", ""Hangers"", ""Shampoo"", ""Free parking on premises"", ""Dryer"", ""Essentials""]",2.5858090663537356
175608,People's Place  - Convention Center,"Shaw, Logan Circle",38.90756,-77.02212,Entire rental unit,Entire home/apt,4,2.0,2.0,72.0,191,4.31,"[""Ceiling fan"", ""Hot water"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Cooking basics"", ""Wifi"", ""Hangers"", ""Essentials"", ""Long term stays allowed"", ""Washer"", ""Dishes and silverware"", ""Body soap"", ""Coffee maker"", ""Shower gel"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Stove"", ""Self check-in"", ""Microwave"", ""Oven"", ""Kitchen"", ""Bathtub"", ""Iron"", ""Heating"", ""Portable fans"", ""Lockbox"", ""Cleaning products""]",1.2396051806869317
178395,"Spare Room for Washington,DC Visit or entire house","Takoma, Brightwood, Manor Park",38.96165,-77.01858,Private room in home,Private room,1,1.0,4.0,255.0,0,,"[""TV with standard cable"", ""Air conditioning"", ""Wifi"", ""Free parking on premises"", ""Kitchen""]",4.975524872340305
196429,"Takoma Garden apt-Lush yard,pets ok","Takoma, Brightwood, Manor Park",38.96923,-77.02041,Entire guest suite,Entire home/apt,3,0.0,2.0,119.0,5,4.2,"[""Hot water"", ""Refrigerator"", ""Backyard"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""Long term stays allowed"", ""Washer"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Patio or balcony"", ""Cleaning available during stay"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Stove"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Oven"", ""Kitchen"", ""Private entrance"", ""Bathtub"", ""First aid kit"", ""Iron"", ""Heating"", ""Pets allowed"", ""Lockbox"", ""Gym"", ""Dryer""]",5.494594032331792
198685,Private room in central location.,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93395,-77.01625,Private room in townhouse,Private room,2,1.0,1.0,59.0,162,4.74,"[""Ceiling fan"", ""Hot water"", ""Freezer"", ""Refrigerator"", ""Backyard"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Cooking basics"", ""Wifi"", ""Hair dryer"", ""Room-darkening shades"", ""Hangers"", ""Essentials"", ""Hot water kettle"", ""Toaster"", ""TV"", ""Long term stays allowed"", ""Washer"", ""Dishes and silverware"", ""Dining table"", ""Dishwasher"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Lock on bedroom door"", ""Books and reading material"", ""Extra pillows and blankets"", ""Rice maker"", ""Dedicated workspace"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Oven"", ""Kitchen"", ""Keypad"", ""Bathtub"", ""First aid kit"", ""Iron"", ""Heating"", ""Clothing storage: closet and dresser"", ""Portable fans"", ""Gas stove"", ""Pets allowed"", ""Blender"", ""Dryer"", ""Cleaning products""]",3.080218730278865
201116,Victorian Haven - Private Basement!,"Takoma, Brightwood, Manor Park",38.97474,-77.01997,Entire rental unit,Entire home/apt,2,1.0,2.0,80.0,228,4.48,"[""Dedicated workspace"", ""Washer"", ""TV with standard cable"", ""Heating"", ""Refrigerator"", ""Coffee maker"", ""Window AC unit"", ""Wifi"", ""Pets allowed"", ""Kitchen"", ""Dryer""]",5.875165120589632
204741,1-Suburbia in the City--Best Value!!!,"Congress Heights, Bellevue, Washington Highlands",38.82768,-76.99624,Private room in condo,Private room,2,1.0,1.0,37.0,116,4.59,"[""Electric stove"", ""Hot water"", ""Freezer"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Baking sheet"", ""Cooking basics"", ""Wifi"", ""Cleaning products"", ""Hair dryer"", ""Hangers"", ""Central air conditioning"", ""Essentials"", ""Hot water kettle"", ""Toaster"", ""TV"", ""Courtyard view"", ""Dishes and silverware"", ""Dining table"", ""Free washer \u2013 In unit"", ""Long term stays allowed"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Lock on bedroom door"", ""Books and reading material"", ""Extra pillows and blankets"", ""Rice maker"", ""Central heating"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Bed linens"", ""Self check-in"", ""Microwave"", ""Oven"", ""Kitchen"", ""Wine glasses"", ""Blender"", ""Free driveway parking on premises \u2013 1 space"", ""Keypad"", ""Bathtub"", ""Iron"", ""Portable fans"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Single level home"", ""Ethernet connection"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Sound system""]",4.506782559204262
223203,ROOM FOR RENT IN A NICE AREA OF DC,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room in home,Private room,2,1.0,1.0,81.0,15,4.8,"[""HDTV"", ""Hot water"", ""Refrigerator"", ""Fire extinguisher"", ""Smoke alarm"", ""Free street parking"", ""Wifi"", ""Hangers"", ""Essentials"", ""Smart lock"", ""Washer"", ""Dishes and silverware"", ""Coffee maker"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""Self check-in"", ""Shampoo"", ""Kitchen"", ""Iron"", ""Heating"", ""Park view"", ""Indoor fireplace"", ""Dryer""]",6.9219883646176275
